[17/06/2022 20:29:01] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_show_skills], Params: [] 
[17/06/2022 20:41:13] --> GM: XxClaudinhaxX [268477771], Target: [Alexandria], Action: [admin_move_to], Params: [ 79768 146559 -3525] 
[17/06/2022 20:41:27] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_gmshop], Params: [] 
[17/06/2022 20:41:29] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_buy], Params: [ 2012] 
[17/06/2022 20:41:33] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_gmshop], Params: [] 
[17/06/2022 20:41:34] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[17/06/2022 20:41:38] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_help], Params: [ gmshop/bgradew.htm] 
[17/06/2022 20:41:42] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_buy], Params: [ 9027] 
[17/06/2022 20:48:08] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_showShop], Params: [ 30084] 
[17/06/2022 20:48:11] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_showShopList], Params: [ 25 1] 
[17/06/2022 20:48:17] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_showShopList], Params: [ 25 2] 
[17/06/2022 20:48:18] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_showShopList], Params: [ 25 3] 
[17/06/2022 20:48:19] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_showShopList], Params: [ 25 4] 
[17/06/2022 20:48:20] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_showShopList], Params: [ 25 5] 
[17/06/2022 20:48:21] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_showShopList], Params: [ 25 6] 
[17/06/2022 20:48:21] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_showShopList], Params: [ 25 7] 
[17/06/2022 20:48:22] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_showShopList], Params: [ 25 8] 
[17/06/2022 20:48:22] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_addShopItem], Params: [ 25] 
[17/06/2022 20:48:24] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_showShopList], Params: [ 25 1] 
[17/06/2022 20:51:57] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [] 
[17/06/2022 20:52:17] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [] 
[17/06/2022 20:52:20] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ npc] 
[17/06/2022 20:52:21] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ multisell] 
[17/06/2022 20:52:22] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ teleport] 
[17/06/2022 20:52:23] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ skill] 
[17/06/2022 20:52:27] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ item] 
[17/06/2022 20:52:29] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ instancemanager] 
[17/06/2022 20:52:31] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ npcwalkers] 
[17/06/2022 20:52:33] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ npcbuffers] 
[17/06/2022 20:52:35] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ quests] 
[17/06/2022 20:52:36] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ configs] 
[17/06/2022 20:52:38] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ tradelist] 
[17/06/2022 20:52:41] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ scripts_custom] 
[17/06/2022 20:52:43] --> GM: XxClaudinhaxX [268477771], Target: [Graham], Action: [admin_reload], Params: [ scripts_feanor] 
[17/06/2022 20:53:23] --> GM: XxClaudinhaxX [268477771], Target: [Stanford], Action: [admin_admin], Params: [] 
[17/06/2022 20:53:24] --> GM: XxClaudinhaxX [268477771], Target: [Stanford], Action: [admin_move_to], Params: [] 
[17/06/2022 20:53:25] --> GM: XxClaudinhaxX [268477771], Target: [Stanford], Action: [admin_help], Params: [ tele/towns.htm] 
[17/06/2022 20:53:26] --> GM: XxClaudinhaxX [268477771], Target: [Stanford], Action: [admin_help], Params: [ tele/towns/aden.htm] 
[17/06/2022 20:53:32] --> GM: XxClaudinhaxX [268477771], Target: [Stanford], Action: [admin_move_to], Params: [ 146086 26302 -2195] 
[17/06/2022 20:55:05] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_showShop], Params: [ 30837] 
[17/06/2022 20:55:40] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_admin], Params: [] 
[17/06/2022 20:58:00] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_gmshop], Params: [] 
[17/06/2022 20:58:01] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[17/06/2022 20:58:02] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[17/06/2022 20:58:06] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_buy], Params: [ 9036] 
[17/06/2022 21:00:43] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:00:47] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_create_item], Params: [ 6660] 
[17/06/2022 21:01:14] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:01:20] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_create_item], Params: [ 151] 
[17/06/2022 21:01:27] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:01:30] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 151] 
[17/06/2022 21:01:44] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:01:47] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 151] 
[17/06/2022 21:02:24] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_gmshop], Params: [] 
[17/06/2022 21:02:25] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[17/06/2022 21:02:26] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[17/06/2022 21:02:28] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_buy], Params: [ 9036] 
[17/06/2022 21:02:49] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:02:52] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_create_item], Params: [ 2500] 
[17/06/2022 21:02:56] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:02:59] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 2500] 
[17/06/2022 21:03:24] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [] 
[17/06/2022 21:03:26] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ tradelist] 
[17/06/2022 21:03:37] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [] 
[17/06/2022 21:03:39] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ htm] 
[17/06/2022 21:03:39] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ npc] 
[17/06/2022 21:03:40] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ skill] 
[17/06/2022 21:03:43] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ teleport] 
[17/06/2022 21:03:44] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ multisell] 
[17/06/2022 21:03:48] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ npcwalkers] 
[17/06/2022 21:04:54] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [] 
[17/06/2022 21:05:00] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ dbs] 
[17/06/2022 21:05:12] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [] 
[17/06/2022 21:05:17] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ configs] 
[17/06/2022 21:05:20] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ scripts_feanor] 
[17/06/2022 21:07:01] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_gmshop], Params: [] 
[17/06/2022 21:07:03] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[17/06/2022 21:07:04] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[17/06/2022 21:07:06] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_buy], Params: [ 9040] 
[17/06/2022 21:07:25] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_gmshop], Params: [] 
[17/06/2022 21:07:27] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[17/06/2022 21:07:28] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[17/06/2022 21:07:29] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_buy], Params: [ 9049] 
[17/06/2022 21:07:42] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_gmshop], Params: [] 
[17/06/2022 21:07:43] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[17/06/2022 21:07:45] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/bgradew.htm] 
[17/06/2022 21:07:47] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_buy], Params: [ 9031] 
[17/06/2022 21:07:52] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_gmshop], Params: [] 
[17/06/2022 21:07:53] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[17/06/2022 21:07:55] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[17/06/2022 21:07:56] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_buy], Params: [ 9040] 
[17/06/2022 21:08:06] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_gmshop], Params: [] 
[17/06/2022 21:08:08] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[17/06/2022 21:08:09] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ gmshop/cgradew.htm] 
[17/06/2022 21:08:10] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_buy], Params: [ 9022] 
[17/06/2022 21:08:13] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_gmshop], Params: [] 
[17/06/2022 21:08:33] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:08:38] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_create_item], Params: [ 6368] 
[17/06/2022 21:08:41] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:08:44] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 6368] 
[17/06/2022 21:09:03] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_gmshop], Params: [] 
[17/06/2022 21:09:04] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[17/06/2022 21:09:05] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ gmshop/dgradew.htm] 
[17/06/2022 21:09:06] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_buy], Params: [ 9013] 
[17/06/2022 21:09:20] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_gmshop], Params: [] 
[17/06/2022 21:09:21] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[17/06/2022 21:09:22] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ gmshop/agradew.htm] 
[17/06/2022 21:09:24] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_buy], Params: [ 9040] 
[17/06/2022 21:09:33] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_gmshop], Params: [] 
[17/06/2022 21:09:34] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[17/06/2022 21:09:35] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_buy], Params: [ 2012] 
[17/06/2022 21:09:38] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_gmshop], Params: [] 
[17/06/2022 21:09:39] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[17/06/2022 21:09:41] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ gmshop/sgradew.htm] 
[17/06/2022 21:09:42] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_buy], Params: [ 9049] 
[17/06/2022 21:09:43] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_gmshop], Params: [] 
[17/06/2022 21:11:31] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:11:34] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 8684] 
[17/06/2022 21:12:45] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_server_restart 0], Params: [] 
[17/06/2022 21:14:48] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [] 
[17/06/2022 21:14:52] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ dbs] 
[17/06/2022 21:15:12] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_edit_npc], Params: [ 30837] 
[17/06/2022 21:15:20] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_showShop], Params: [ 30837] 
[17/06/2022 21:15:23] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_showShopList], Params: [ 97 1] 
[17/06/2022 21:15:30] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_editShopItem], Params: [ 97 311] 
[17/06/2022 21:15:44] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [] 
[17/06/2022 21:15:50] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ tradelist] 
[17/06/2022 21:16:56] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:17:02] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 80] 
[17/06/2022 21:18:37] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [] 
[17/06/2022 21:18:39] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_reload], Params: [ tradelist] 
[17/06/2022 21:19:54] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [] 
[17/06/2022 21:19:57] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ tradelist] 
[17/06/2022 21:21:09] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [] 
[17/06/2022 21:21:12] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_reload], Params: [ tradelist] 
[17/06/2022 21:21:29] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_gmspeed 4], Params: [] 
[17/06/2022 21:21:34] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_admin], Params: [] 
[17/06/2022 21:21:36] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_move_to], Params: [] 
[17/06/2022 21:21:39] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ tele/towns.htm] 
[17/06/2022 21:21:42] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_help], Params: [ tele/towns/goddard.htm] 
[17/06/2022 21:21:43] --> GM: XxClaudinhaxX [268477771], Target: [Woodrow], Action: [admin_move_to], Params: [ 147725 -56517 -2780] 
[17/06/2022 21:22:54] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_admin], Params: [] 
[17/06/2022 21:22:55] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_move_to], Params: [] 
[17/06/2022 21:22:56] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[17/06/2022 21:22:58] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_help], Params: [ tele/towns/goddard.htm] 
[17/06/2022 21:23:00] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_move_to], Params: [ 148909 -58773 -2966] 
[17/06/2022 21:23:25] --> GM: XxClaudinhaxX [268477771], Target: [Helmut], Action: [admin_showShop], Params: [ 31258] 
[17/06/2022 21:24:04] --> GM: XxClaudinhaxX [268477771], Target: [Helmut], Action: [admin_showShop], Params: [ 31258] 
[17/06/2022 21:24:06] --> GM: XxClaudinhaxX [268477771], Target: [Helmut], Action: [admin_showShopList], Params: [ 109 1] 
[17/06/2022 21:24:16] --> GM: XxClaudinhaxX [268477771], Target: [Helmut], Action: [admin_showShop], Params: [ 31258] 
[17/06/2022 21:26:04] --> GM: XxClaudinhaxX [268477771], Target: [Veronica], Action: [admin_showShop], Params: [ 31257] 
[17/06/2022 21:28:45] --> GM: XxClaudinhaxX [268477771], Target: [Veronica], Action: [admin_reload], Params: [] 
[17/06/2022 21:28:47] --> GM: XxClaudinhaxX [268477771], Target: [Veronica], Action: [admin_reload], Params: [ tradelist] 
[17/06/2022 21:32:25] --> GM: XxClaudinhaxX [268477771], Target: [Janne], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:32:35] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 6369] 
[17/06/2022 21:32:56] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:32:59] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 100] 
[17/06/2022 21:33:16] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:33:19] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 185] 
[17/06/2022 21:33:34] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_itemcreate], Params: [] 
[17/06/2022 21:33:37] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_create_item], Params: [ 6379] 
[17/06/2022 21:34:51] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_admin], Params: [] 
[17/06/2022 21:34:52] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_move_to], Params: [] 
[17/06/2022 21:34:53] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ tele/towns.htm] 
[17/06/2022 21:34:55] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_help], Params: [ tele/towns/rune.htm] 
[17/06/2022 21:34:57] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_move_to], Params: [ 44070 -50243 -796] 
[18/06/2022 6:46:36] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_show_droplist], Params: [ 22140] 
[18/06/2022 6:46:47] --> GM: XxClaudinhaxX [268477771], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
[18/06/2022 6:47:23] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Offering], Action: [admin_gmshop], Params: [] 
[18/06/2022 6:47:28] --> GM: XxClaudinhaxX [268477771], Target: [Ritual Offering], Action: [admin_buy], Params: [ 300511] 
[18/06/2022 6:48:14] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_enchant], Params: [] 
[18/06/2022 6:48:18] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_setew], Params: [ 16] 
[18/06/2022 6:48:33] --> GM: XxClaudinhaxX [268477771], Target: [XxClaudinhaxX], Action: [admin_heal], Params: [] 
[18/06/2022 6:50:28] --> GM: XxClaudinhaxX [268477771], Target: [no-target], Action: [admin_recall TESTE], Params: [] 
[18/06/2022 6:50:47] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_edit_character], Params: [] 
[18/06/2022 6:50:58] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_current_player], Params: [] 
[18/06/2022 6:51:01] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_add_exp_sp_to_character], Params: [] 
[18/06/2022 6:51:05] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_set_level], Params: [ 81] 
[18/06/2022 6:51:24] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setclass], Params: [] 
[18/06/2022 6:51:34] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_setclass], Params: [ 93] 
[18/06/2022 6:51:48] --> GM: XxClaudinhaxX [268477771], Target: [TESTE], Action: [admin_show_skills], Params: [] 
